yearcode,tenure2,tenurename,out1s
2017,1,Owner occupier,18.3548727643162
2016,1,Owner occupier,18.9897899553371
2015,1,Owner occupier,19.3494792985833
2014,1,Owner occupier,18.58680735183
2013,1,Owner occupier,19.2456093617328
2012,1,Owner occupier,24.5265305444164
2011,1,Owner occupier,29.4120717341587
2010,1,Owner occupier,29.4979835754648
2009,1,Owner occupier,29.8797557150587
2008,1,Owner occupier,30.2244117880339
2007,1,Owner occupier,27.7565315070453
2006,1,Owner occupier,27.8094231324943
2005,1,Owner occupier,31.4306584902451
2004,1,Owner occupier,33.2331922828108
2017,2,Social rent,57.4633726611858
2016,2,Social rent,54.3560076339213
2015,2,Social rent,51.593121813331
2014,2,Social rent,53.2973138403278
2013,2,Social rent,52.5632853103284
2012,2,Social rent,49.0817799626171
2011,2,Social rent,49.1750051963394
2010,2,Social rent,50.8185184899768
2009,2,Social rent,50.6730060504457
2008,2,Social rent,51.538945232002
2007,2,Social rent,54.9422921896603
2006,2,Social rent,57.4828058636184
2005,2,Social rent,56.2371107518883
2004,2,Social rent,54.6802732402455
2017,3,Private rent,22.2915255098875
2016,3,Private rent,23.8279260781751
2015,3,Private rent,25.7063679145236
2014,3,Private rent,26.1360103034658
2013,3,Private rent,27.3916512002538
2012,3,Private rent,25.6502063041196
2011,3,Private rent,19.998119580716
2010,3,Private rent,17.6874218697462
2009,3,Private rent,17.8340285071772
2008,3,Private rent,16.9777072930364
2007,3,Private rent,15.6281161594511
2006,3,Private rent,13.1975406887436
2005,3,Private rent,11.2954541696663
2004,3,Private rent,11.04537549889
2017,4,Rent free,1.8902290646105
2016,4,Rent free,2.82627633256654
2015,4,Rent free,3.35103097356218
2014,4,Rent free,1.97986850437646
2013,4,Rent free,.799454127684992
2012,4,Rent free,.741483188846949
2011,4,Rent free,1.41480348878592
2010,4,Rent free,1.99607606481219
2009,4,Rent free,1.61320972731848
2008,4,Rent free,1.25893568692776
2007,4,Rent free,1.67306014384327
2006,4,Rent free,2.03080980417055
2004,4,Rent free,2.07355317640072
